5EQ0:	HEADER    TRANSCRIPTION/TRANSCRIPTION INHIBITOR   12-NOV-15   5EQ0              
1HZ4:	HEADER    TRANSCRIPTION ACTIVATOR                 23-JAN-01   1HZ4              
3LAA:	HEADER    TRANSPORT PROTEIN                       06-JAN-10   3LAA              
2OHW:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   10-JAN-07   2OHW              
3POW:	HEADER    CHAPERONE                               23-NOV-10   3POW              
3K05:	HEADER    PROTEIN BINDING                         24-SEP-09   3K05              
3LWX:	HEADER    OXIDOREDUCTASE                          24-FEB-10   3LWX              
3WMT:	HEADER    HYDROLASE                               25-NOV-13   3WMT              
3WMV:	HEADER    SUGAR BINDING PROTEIN                   27-NOV-13   3WMV              
3R5T:	HEADER    METAL TRANSPORT                         19-MAR-11   3R5T              
3MXZ:	HEADER    CHAPERONE                               08-MAY-10   3MXZ              
2EAB:	HEADER    HYDROLASE                               31-JAN-07   2EAB              
3IQU:	HEADER    PROTEIN BINDING, SIGNALING PROTEIN      21-AUG-09   3IQU              
3NSO:	HEADER    METAL BINDING PROTEIN                   02-JUL-10   3NSO              
1S9U:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   05-FEB-04   1S9U              
2EAQ:	HEADER    METAL BINDING PROTEIN                   31-JAN-07   2EAQ              
4DI9:	HEADER    HYDROLASE                               11-JAN-12   4DI9              
4PXE:	HEADER    HYDROLASE                               23-MAR-14   4PXE              
3BMZ:	HEADER    BIOSYNTHETIC PROTEIN                    13-DEC-07   3BMZ              
3LW3:	HEADER    UNKNOWN FUNCTION                        23-FEB-10   3LW3              
3S2R:	HEADER    METAL BINDING PROTEIN                   17-MAY-11   3S2R              
5G51:	HEADER    VIRAL PROTEIN                           18-MAY-16   5G51              
4JMP:	HEADER    TRANSFERASE                             14-MAR-13   4JMP              
4JEJ:	HEADER    TRANSFERASE                             27-FEB-13   4JEJ              
4KH8:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   30-APR-13   4KH8              
1X0T:	HEADER    HYDROLASE                               29-MAR-05   1X0T              
5KZZ:	HEADER    SIGNALING PROTEIN                       25-JUL-16   5KZZ              
3W07:	HEADER    LYASE                                   22-OCT-12   3W07              
1HZT:	HEADER    ISOMERASE                               26-JAN-01   1HZT              
2E3N:	HEADER    LIPID TRANSPORT                         28-NOV-06   2E3N              
3WWL:	HEADER    METAL BINDING PROTEIN                   21-JUN-14   3WWL              
4RML:	HEADER    SIGNALING PROTEIN                       21-OCT-14   4RML              
3UXJ:	HEADER    OXIDOREDUCTASE/OXIDOREDUCTASE SUBSTRATE 05-DEC-11   3UXJ              
2WZO:	HEADER    CELL CYCLE                              01-DEC-09   2WZO              
1G61:	HEADER    TRANSLATION                             02-NOV-00   1G61              
1OD3:	HEADER    HYDROLASE                               12-FEB-03   1OD3              
2HMJ:	HEADER    OXIDOREDUCTASE                          11-JUL-06   2HMJ              
2WZB:	HEADER    TRANSFERASE                             27-NOV-09   2WZB              
1RO2:	HEADER    REPLICATION                             01-DEC-03   1RO2              
3BQP:	HEADER    LIPID BINDING PROTEIN                   20-DEC-07   3BQP              
3BQX:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   20-DEC-07   3BQX              
1I71:	HEADER    HYDROLASE                               07-MAR-01   1I71              
3GA4:	HEADER    TRANSFERASE                             16-FEB-09   3GA4              
1PO5:	HEADER    OXIDOREDUCTASE                          13-JUN-03   1PO5              
3C2U:	HEADER    HYDROLASE                               25-JAN-08   3C2U              
2QR6:	HEADER    OXIDOREDUCTASE                          27-JUL-07   2QR6              
2BAY:	HEADER    LIGASE                                  15-OCT-05   2BAY              
